setting,reasoning,persona,response_status,incomplete_reason,prompt_tokens,reasoning_tokens,actual_output_tokens,total_tokens,response_text_len
skill_v1,low,pid_19,completed,,11255,1345,3087,15687,10528
skill_v1,low,pid_20,completed,,11470,1436,3058,15964,10516
skill_v1,medium,pid_1,completed,,11589,3402,3029,18020,10332
skill_v1,medium,pid_2,completed,,12202,3226,3092,18520,10548
skill_v1,medium,pid_3,completed,,12028,3314,3071,18413,10581
skill_v1,medium,pid_4,completed,,11326,3933,3087,18346,10555
skill_v1,medium,pid_5,completed,,11316,3348,3061,17725,10530
skill_v1,medium,pid_6,completed,,10915,3784,3045,17744,10447
skill_v1,medium,pid_7,completed,,12834,3603,3054,19491,10504
skill_v1,medium,pid_8,completed,,12187,2537,3051,17775,10460
skill_v1,medium,pid_9,completed,,12529,3982,3094,19605,10588
skill_v1,medium,pid_10,completed,,12701,2784,3055,18540,10498
skill_v1,medium,pid_11,completed,,11140,3849,3068,18057,10521
skill_v1,medium,pid_12,completed,,11846,4253,3078,19177,10518
skill_v1,medium,pid_13,completed,,11780,3697,3057,18534,10365
skill_v1,medium,pid_14,completed,,12078,3403,3090,18571,10583
skill_v1,medium,pid_15,completed,,12934,2742,3094,18770,10585
skill_v1,medium,pid_16,completed,,11455,3090,3062,17607,10435
skill_v1,medium,pid_17,completed,,11551,3321,3094,17966,10658
skill_v1,medium,pid_18,completed,,10910,3785,3062,17757,10530
skill_v1,medium,pid_19,completed,,11255,4027,3119,18401,10710
skill_v1,medium,pid_20,completed,,11470,3732,3065,18267,10530
skill_v1,high,pid_1,completed,,11589,4022,3028,18639,10340
skill_v1,high,pid_2,completed,,12202,5274,3063,20539,10445
skill_v1,high,pid_3,completed,,12028,4116,3052,19196,10468
skill_v1,high,pid_4,completed,,11326,5660,3067,20053,10455
skill_v1,high,pid_5,completed,,11316,5346,3027,19689,10343
skill_v1,high,pid_6,completed,,10915,4894,3060,18869,10527
skill_v1,high,pid_7,completed,,12834,4172,3062,20068,10536
skill_v1,high,pid_8,completed,,12187,4387,3059,19633,10496
skill_v1,high,pid_9,completed,,12529,5659,3060,21248,10385
skill_v1,high,pid_10,completed,,12701,4048,3060,19809,10522
skill_v1,high,pid_11,completed,,11140,4765,3041,18946,10372
skill_v1,high,pid_12,completed,,11846,4457,3045,19348,10338
skill_v1,high,pid_13,completed,,11780,4650,3075,19505,10485
skill_v1,high,pid_14,completed,,12078,4052,3080,19210,10507
skill_v1,high,pid_15,completed,,12934,4973,3104,21011,10622
skill_v1,high,pid_16,completed,,11455,4946,3094,19495,10605
skill_v1,high,pid_17,completed,,11551,5863,3076,20490,10584
skill_v1,high,pid_18,completed,,10910,3835,3039,17784,10372
skill_v1,high,pid_19,completed,,11255,5207,3095,19557,10593
skill_v1,high,pid_20,completed,,11470,3969,3070,18509,10577
skill_v2,none,pid_1,completed,,10929,0,3057,13986,10510
skill_v2,none,pid_2,completed,,13063,0,3069,16132,10464
skill_v2,none,pid_3,completed,,10783,0,3070,13853,10603
skill_v2,none,pid_4,completed,,10563,0,3087,13650,10555
skill_v2,none,pid_5,completed,,10359,0,3059,13418,10544
skill_v2,none,pid_6,completed,,10329,0,3069,13398,10611
skill_v2,none,pid_7,completed,,10376,0,3060,13436,10512
skill_v2,none,pid_8,completed,,10334,0,3064,13398,10543
skill_v2,none,pid_9,completed,,10448,0,3076,13524,10478
skill_v2,none,pid_10,completed,,10672,0,3029,13701,10357
skill_v2,none,pid_11,completed,,10355,0,3059,13414,10494
skill_v2,none,pid_12,completed,,10446,0,3082,13528,10574
skill_v2,none,pid_13,completed,,10744,0,3098,13842,10640
skill_v2,none,pid_14,completed,,10365,0,3087,13452,10563
skill_v2,none,pid_15,completed,,10737,0,3064,13801,10416
skill_v2,none,pid_16,completed,,10631,0,3089,13720,10576
skill_v2,none,pid_17,completed,,10348,0,3085,13433,10608
skill_v2,none,pid_18,completed,,10335,0,3069,13404,10541
skill_v2,none,pid_19,completed,,10618,0,3076,13694,10496
skill_v2,none,pid_20,completed,,10106,0,3094,13200,10755
skill_v2,low,pid_1,unknown,,10929,0,0,14661,10541
skill_v2,low,pid_2,unknown,,13063,0,0,15943,9510
skill_v2,low,pid_3,unknown,,10783,0,0,14444,10592
skill_v2,low,pid_4,unknown,,10563,0,0,14012,10552
skill_v2,low,pid_5,unknown,,10359,0,0,13727,10509
skill_v2,low,pid_6,unknown,,10329,0,0,14104,10517
skill_v2,low,pid_7,unknown,,10376,0,0,14121,10542
skill_v2,low,pid_8,unknown,,10334,0,0,13848,10566
skill_v2,low,pid_9,unknown,,10448,0,0,13970,10375
skill_v2,low,pid_10,unknown,,10672,0,0,14242,10568
skill_v2,low,pid_11,unknown,,10355,0,0,13465,10576
skill_v2,low,pid_12,unknown,,10446,0,0,14450,10528
skill_v2,low,pid_13,unknown,,10744,0,0,14564,10600
skill_v2,low,pid_14,unknown,,10365,0,0,13936,10575
skill_v2,low,pid_15,unknown,,10737,0,0,14243,10557
skill_v2,low,pid_16,unknown,,10631,0,0,13746,10588
skill_v2,low,pid_17,unknown,,10348,0,0,13380,9380
skill_v2,low,pid_18,unknown,,10335,0,0,13777,10571
skill_v2,low,pid_19,unknown,,10618,0,0,14040,10619
skill_v2,low,pid_20,unknown,,10106,0,0,14040,10536
skill_v2,medium,pid_1,completed,,10929,3852,3065,17846,10560
skill_v2,medium,pid_2,completed,,13063,3339,3053,19455,10344
skill_v2,medium,pid_3,completed,,10783,3499,3050,17332,10467
skill_v2,medium,pid_4,completed,,10563,3102,3076,16741,10525
skill_v2,medium,pid_5,completed,,10359,4031,3056,17446,10508
skill_v2,medium,pid_6,completed,,10329,3344,3045,16718,10432
skill_v2,medium,pid_7,completed,,10376,2761,3057,16194,10535
skill_v2,medium,pid_8,completed,,10334,4146,3057,17537,10493
skill_v2,medium,pid_9,completed,,10448,3088,3069,16605,10464
skill_v2,medium,pid_10,completed,,10672,4105,3036,17813,10396
skill_v2,medium,pid_11,completed,,10355,3864,3048,17267,10414
skill_v2,medium,pid_12,completed,,10446,3705,3082,17233,10548
skill_v2,medium,pid_13,completed,,10744,3318,3113,17175,10686
skill_v2,medium,pid_14,completed,,10365,3657,3090,17112,10570
skill_v2,medium,pid_15,completed,,10737,3382,3093,17212,10591
skill_v2,medium,pid_16,completed,,10631,3938,3087,17656,10569
skill_v2,medium,pid_17,completed,,10348,3747,3047,17142,10449
skill_v2,medium,pid_18,completed,,10335,3500,3041,16876,10430
skill_v2,medium,pid_19,completed,,10618,3157,3072,16847,10473
skill_v2,medium,pid_20,completed,,10106,3516,3067,16689,10560
skill_v2,high,pid_1,completed,,10929,5865,3090,19884,10656
skill_v2,high,pid_2,completed,,13063,5313,3056,21432,10364
skill_v2,high,pid_3,completed,,10783,5165,3072,19020,10596
skill_v2,high,pid_4,completed,,10563,5207,3081,18851,10543
skill_v2,high,pid_5,completed,,10359,4426,3063,17848,10544
skill_v2,high,pid_6,completed,,10329,5781,3082,19192,10610
skill_v2,high,pid_7,completed,,10376,5021,3057,18454,10519
skill_v2,high,pid_8,completed,,10334,4197,3072,17603,10588
skill_v2,high,pid_9,completed,,10448,4329,3066,17843,10439
skill_v2,high,pid_10,completed,,10672,5379,3044,19095,10431
skill_v2,high,pid_11,completed,,10355,5613,3063,19031,10509
skill_v2,high,pid_12,completed,,10446,4541,3082,18069,10551
skill_v2,high,pid_13,completed,,10744,4798,3081,18623,10502
skill_v2,high,pid_14,completed,,10365,4473,3094,17932,10574
skill_v2,high,pid_15,completed,,10737,6022,3095,19854,10588
skill_v2,high,pid_16,completed,,10631,5456,3055,19142,10376
skill_v2,high,pid_17,completed,,10348,4418,3047,17813,10462
skill_v2,high,pid_18,completed,,10335,4885,3070,18290,10563
skill_v2,high,pid_19,completed,,10618,4557,3099,18274,10605
skill_v2,high,pid_20,completed,,10106,5737,3058,18901,10498
skill_v3,none,pid_1,completed,,11485,0,3076,14561,10637
skill_v3,none,pid_2,completed,,11207,0,3071,14278,10476
skill_v3,none,pid_3,completed,,11345,0,3037,14382,10381
skill_v3,none,pid_4,completed,,11487,0,3071,14558,10496
skill_v3,none,pid_5,completed,,11645,0,3058,14703,10491
skill_v3,none,pid_6,completed,,11302,0,3073,14375,10601
skill_v3,none,pid_7,completed,,10678,0,3055,13733,10532
skill_v3,none,pid_8,completed,,9636,0,3072,12708,10622
skill_v3,none,pid_9,completed,,11526,0,3110,14636,10708
skill_v3,none,pid_10,completed,,11006,0,3034,14040,10368
skill_v3,none,pid_11,completed,,9580,0,3074,12654,10596
skill_v3,none,pid_12,completed,,11144,0,3117,14261,10736
skill_v3,none,pid_13,completed,,11228,0,3097,14325,10618
skill_v3,none,pid_14,completed,,11487,0,3054,14541,10375
skill_v3,none,pid_15,completed,,11570,0,3066,14636,10420
skill_v3,none,pid_16,completed,,11242,0,3070,14312,10451
skill_v3,none,pid_17,completed,,11472,0,3086,14558,10629
skill_v3,none,pid_18,completed,,10605,0,3065,13670,10528
skill_v3,none,pid_19,completed,,11422,0,3082,14504,10522
skill_v3,none,pid_20,completed,,11300,0,3054,14354,10490
skill_v3,low,pid_1,completed,,11485,1391,3039,15915,10364
skill_v3,low,pid_2,completed,,11207,1511,3099,15817,10653
skill_v3,low,pid_3,completed,,11345,20,3071,14436,10561
skill_v3,low,pid_4,completed,,11487,1593,3086,16166,10557
skill_v3,low,pid_5,completed,,11645,26,3043,14714,10400
skill_v3,low,pid_6,completed,,11302,1585,3088,15975,10648
skill_v3,low,pid_7,completed,,10678,1488,3082,15248,10629
skill_v3,low,pid_8,completed,,9636,94,3091,12821,10711
skill_v3,low,pid_9,completed,,11526,1463,3101,16090,10631
skill_v3,low,pid_10,completed,,11006,1394,3066,15466,10544
skill_v3,low,pid_11,completed,,9580,1178,3087,13845,10631
skill_v3,low,pid_12,completed,,11144,1388,3049,15581,10338
skill_v3,low,pid_13,completed,,11228,1285,3062,15575,10391
skill_v3,low,pid_14,completed,,11487,1305,3111,15903,10700
skill_v3,low,pid_15,completed,,11570,1544,3065,16179,10406
skill_v3,low,pid_16,completed,,11242,1376,3086,15704,10531
skill_v3,low,pid_17,completed,,11472,55,3111,14638,10733
skill_v3,low,pid_18,completed,,10605,1616,3065,15286,10527
skill_v3,low,pid_19,completed,,11422,1532,3061,16015,10385
skill_v3,low,pid_20,completed,,11300,1613,3032,15945,10346
skill_v3,medium,pid_1,completed,,11485,3581,3067,18133,10602
skill_v3,medium,pid_2,completed,,11207,2778,3055,17040,10373
skill_v3,medium,pid_3,completed,,11345,3567,3054,17966,10475
skill_v3,medium,pid_4,completed,,11487,3211,3060,17758,10395
skill_v3,medium,pid_5,completed,,11645,3249,3049,17943,10490
skill_v3,medium,pid_6,completed,,11302,3618,3046,17966,10452
skill_v3,medium,pid_7,completed,,10678,3540,3049,17267,10492
skill_v3,medium,pid_8,completed,,9636,3977,3076,16689,10586
skill_v3,medium,pid_9,completed,,11526,3921,3096,18543,10597
skill_v3,medium,pid_10,completed,,11006,3996,3065,18067,10539
skill_v3,medium,pid_11,completed,,9580,2198,3077,14855,10591
skill_v3,medium,pid_12,completed,,11144,3830,3088,18062,10578
skill_v3,medium,pid_13,completed,,11228,2791,3096,17115,10603
skill_v3,medium,pid_14,completed,,11487,3611,3087,18185,10566
skill_v3,medium,pid_15,completed,,11570,3450,3106,18126,10645
skill_v3,medium,pid_16,completed,,11242,3250,3059,17551,10388
skill_v3,medium,pid_17,completed,,11472,3599,3078,18149,10601
skill_v3,medium,pid_18,completed,,10605,2957,3036,16598,10409
skill_v3,medium,pid_19,completed,,11422,2704,3097,17223,10606
skill_v3,medium,pid_20,completed,,11300,4012,3057,18369,10482
skill_v3,high,pid_1,completed,,11485,4395,3065,18945,10556
skill_v3,high,pid_2,completed,,11207,5071,3085,19363,10535
skill_v3,high,pid_3,completed,,11345,4321,3070,18736,10557
skill_v3,high,pid_4,completed,,11487,5133,3056,19676,10379
skill_v3,high,pid_5,completed,,11645,3064,3027,17736,10335
skill_v3,high,pid_6,completed,,11302,4902,3062,19266,10543
skill_v3,high,pid_7,completed,,10678,5125,3053,18856,10488
skill_v3,high,pid_8,completed,,9636,4551,3072,17259,10566
skill_v3,high,pid_9,completed,,11526,4457,3085,19068,10535
skill_v3,high,pid_10,completed,,11006,3682,3039,17727,10423
skill_v3,high,pid_11,completed,,9580,5838,3046,18464,10405
skill_v3,high,pid_12,completed,,11144,4067,3088,18299,10570
skill_v3,high,pid_13,completed,,11228,5311,3098,19637,10596
skill_v3,high,pid_14,completed,,11487,4530,3111,19128,10663
skill_v3,high,pid_15,completed,,11570,4373,3078,19021,10500
skill_v3,high,pid_16,completed,,11242,5044,3093,19379,10592
skill_v3,high,pid_17,completed,,11472,5541,3053,20066,10455
skill_v3,high,pid_18,completed,,10605,6487,3074,20166,10581
skill_v3,high,pid_19,completed,,11422,5778,3099,20299,10612
skill_v3,high,pid_20,completed,,11300,5977,3074,20351,10597
raw,none,pid_1,unknown,,35617,0,0,38693,10590
raw,none,pid_2,unknown,,36066,0,0,39139,10449
raw,none,pid_3,unknown,,35651,0,0,38695,10403
raw,none,pid_4,unknown,,35741,0,0,38848,10655
raw,none,pid_5,unknown,,35883,0,0,38943,10535
raw,none,pid_6,unknown,,36122,0,0,39191,10593
raw,none,pid_7,unknown,,35895,0,0,38973,10667
raw,none,pid_8,unknown,,35892,0,0,38959,10583
raw,none,pid_9,unknown,,36049,0,0,39138,10591
raw,none,pid_10,unknown,,35939,0,0,39033,10702
raw,none,pid_11,unknown,,35731,0,0,38818,10670
raw,none,pid_12,unknown,,35758,0,0,38865,10653
raw,none,pid_13,unknown,,35876,0,0,38980,10655
raw,none,pid_14,unknown,,35915,0,0,38981,10382
raw,none,pid_15,unknown,,35865,0,0,38981,10732
raw,none,pid_16,unknown,,35856,0,0,38948,10596
raw,none,pid_17,unknown,,35639,0,0,38708,10589
raw,none,pid_18,unknown,,35801,0,0,38903,10748
raw,none,pid_19,unknown,,35855,0,0,38901,10557
raw,none,pid_20,unknown,,35751,0,0,38822,10579
raw,low,pid_1,unknown,,35617,0,0,38684,10579
raw,low,pid_2,unknown,,36066,0,0,39169,10625
raw,low,pid_3,unknown,,35651,0,0,38733,10653
raw,low,pid_4,unknown,,35741,0,0,38812,10475
raw,low,pid_5,unknown,,35883,0,0,38945,10572
raw,low,pid_6,unknown,,36122,0,0,39215,10712
raw,low,pid_7,unknown,,35895,0,0,38926,10365
raw,low,pid_8,unknown,,35892,0,0,38956,10567
raw,low,pid_9,unknown,,36049,0,0,39149,10660
raw,low,pid_10,unknown,,35939,0,0,39001,10525
raw,low,pid_11,unknown,,35731,0,0,38811,10621
raw,low,pid_12,unknown,,35758,0,0,38760,10320
raw,low,pid_13,unknown,,35876,0,0,38974,10600
raw,low,pid_14,unknown,,35915,0,0,38962,10324
raw,low,pid_15,unknown,,35865,0,0,38986,10752
raw,low,pid_16,unknown,,35856,0,0,38976,10741
raw,low,pid_17,unknown,,35639,0,0,38728,10642
raw,low,pid_18,unknown,,35801,0,0,38847,10415
raw,low,pid_19,unknown,,35855,0,0,38959,10602
raw,low,pid_20,unknown,,35751,0,0,38838,10676
raw,medium,pid_1,unknown,,35617,0,0,38650,10401
raw,medium,pid_2,unknown,,36066,0,0,39153,10573
raw,medium,pid_3,unknown,,35651,0,0,38697,10427
raw,medium,pid_4,unknown,,35741,0,0,38859,10722
raw,medium,pid_5,unknown,,35883,0,0,38922,10416
raw,medium,pid_6,unknown,,36122,0,0,39185,10571
raw,medium,pid_7,unknown,,35895,0,0,38965,10565
raw,medium,pid_8,unknown,,35892,0,0,38965,10610
raw,medium,pid_9,unknown,,36049,0,0,39114,10454
raw,medium,pid_10,unknown,,35939,0,0,38961,10326
raw,medium,pid_11,unknown,,35731,0,0,38783,10485
raw,medium,pid_12,unknown,,35758,0,0,38851,10594
raw,medium,pid_13,unknown,,35876,0,0,38974,10639
raw,medium,pid_14,unknown,,35915,0,0,39006,10589
raw,medium,pid_15,unknown,,35865,0,0,38965,10648
raw,medium,pid_16,unknown,,35856,0,0,38965,10658
raw,medium,pid_17,unknown,,35639,0,0,38676,10367
raw,medium,pid_18,unknown,,35801,0,0,38861,10538
raw,medium,pid_19,unknown,,35855,0,0,38922,10430
raw,medium,pid_20,unknown,,35751,0,0,38828,10621
raw,high,pid_1,completed,,35588,5968,3081,44637,10627
raw,high,pid_2,completed,,36037,6338,3089,45464,10562
raw,high,pid_3,completed,,35623,4803,3071,43497,10567
raw,high,pid_4,completed,,35712,4785,3091,43588,10573
raw,high,pid_5,completed,,35854,4710,3061,43625,10532
raw,high,pid_6,completed,,36093,4900,3053,44046,10476
raw,high,pid_7,completed,,35866,4449,3054,43369,10515
raw,high,pid_8,completed,,35863,5222,3055,44140,10475
raw,high,pid_9,completed,,36020,5000,3095,44115,10593
raw,high,pid_10,completed,,35910,6110,3026,45046,10326
raw,high,pid_11,completed,,35702,6306,3064,45072,10499
raw,high,pid_12,completed,,35729,7203,3087,46019,10558
raw,high,pid_13,completed,,35847,5805,3099,44751,10614
raw,high,pid_14,completed,,35886,6634,3054,45574,10347
raw,high,pid_15,completed,,35836,7426,3069,46331,10409
raw,high,pid_16,completed,,35827,5825,3047,44699,10345
raw,high,pid_17,completed,,35610,6372,3079,45061,10634
raw,high,pid_18,completed,,35772,5638,3061,44471,10524
raw,high,pid_19,completed,,35826,5854,3070,44750,10414
raw,high,pid_20,completed,,35722,6559,2604,44885,8914
raw_start_v1,none,pid_1,completed,,38257,0,3073,41330,10626
raw_start_v1,none,pid_2,completed,,39200,0,3080,42280,10528
raw_start_v1,none,pid_3,completed,,38744,0,3076,41820,10600
raw_start_v1,none,pid_4,completed,,37969,0,3066,41035,10460
raw_start_v1,none,pid_5,completed,,38225,0,3035,41260,10438
raw_start_v1,none,pid_6,completed,,38074,0,3061,41135,10553
raw_start_v1,none,pid_7,completed,,39763,0,3062,42825,10561
raw_start_v1,none,pid_8,completed,,39090,0,3084,42174,10665
raw_start_v1,none,pid_9,completed,,39464,0,3120,42584,10789
raw_start_v1,none,pid_10,completed,,39672,0,3068,42740,10546
raw_start_v1,none,pid_11,completed,,37953,0,3037,40990,10398
raw_start_v1,none,pid_12,completed,,38561,0,3050,41611,10593
raw_start_v1,none,pid_13,completed,,38596,0,3099,41695,10604
raw_start_v1,none,pid_14,completed,,38945,0,3085,42030,10546
raw_start_v1,none,pid_15,completed,,39681,0,3092,42773,10611
raw_start_v1,none,pid_16,completed,,38250,0,3093,41343,10599
raw_start_v1,none,pid_17,completed,,38243,0,3024,41267,10310
raw_start_v1,none,pid_18,completed,,37692,0,3040,40732,10403
raw_start_v1,none,pid_19,completed,,38052,0,3067,41119,10455
raw_start_v1,none,pid_20,completed,,38261,0,3082,41343,10653
raw_start_v1,low,pid_1,completed,,38257,1259,3091,42607,10637
raw_start_v1,low,pid_2,completed,,39200,1189,3084,43473,10537
raw_start_v1,low,pid_3,completed,,38744,1250,3086,43080,10648
raw_start_v1,low,pid_4,completed,,37969,1238,3101,42308,10618
raw_start_v1,low,pid_5,completed,,38225,1189,3089,42503,10711
raw_start_v1,low,pid_6,completed,,38074,1511,2958,42543,9998
raw_start_v1,low,pid_7,completed,,39763,1467,3024,44254,10337
raw_start_v1,low,pid_8,completed,,39090,1469,2870,43429,9824
raw_start_v1,low,pid_9,completed,,39464,1487,3059,44010,10375
raw_start_v1,low,pid_10,completed,,39672,1535,3058,44265,10493
raw_start_v1,low,pid_11,completed,,37953,1499,3044,42496,10390
raw_start_v1,low,pid_12,completed,,38561,1438,2895,42894,9544
raw_start_v1,low,pid_13,completed,,38596,1512,3100,43208,10609
raw_start_v1,low,pid_14,completed,,38945,1362,3074,43381,10443
raw_start_v1,low,pid_15,completed,,39681,1409,3059,44149,10373
raw_start_v1,low,pid_16,completed,,38250,1453,3111,42814,10655
raw_start_v1,low,pid_17,completed,,38243,1406,3059,42708,10446
raw_start_v1,low,pid_18,completed,,37692,879,3074,41645,10549
raw_start_v1,low,pid_19,completed,,38052,1106,3066,42224,10400
raw_start_v1,low,pid_20,completed,,38261,1519,3079,42859,10609
raw_start_v1,medium,pid_1,completed,,38257,3709,3066,45032,10542
raw_start_v1,medium,pid_2,completed,,39200,3492,3077,45769,10487
raw_start_v1,medium,pid_3,completed,,38744,3955,3044,45743,10430
raw_start_v1,medium,pid_4,completed,,37969,4097,3098,45164,10554
raw_start_v1,medium,pid_5,completed,,38225,2914,3074,44213,10650
raw_start_v1,medium,pid_6,completed,,38074,4861,3065,46000,10563
raw_start_v1,medium,pid_7,completed,,39763,3444,3060,46267,10533
raw_start_v1,medium,pid_8,completed,,39090,3900,3073,46063,10569
raw_start_v1,medium,pid_9,completed,,39464,4467,3069,47000,10414
raw_start_v1,medium,pid_10,completed,,39672,4091,3049,46812,10454
raw_start_v1,medium,pid_11,completed,,37953,3921,3081,44955,10607
raw_start_v1,medium,pid_12,completed,,38561,4301,3091,45953,10599
raw_start_v1,medium,pid_13,completed,,38596,4084,3103,45783,10617
raw_start_v1,medium,pid_14,completed,,38945,3399,3079,45423,10505
raw_start_v1,medium,pid_15,completed,,39681,3017,3098,45796,10625
raw_start_v1,medium,pid_16,completed,,38250,3382,3085,44717,10559
raw_start_v1,medium,pid_17,completed,,38243,4669,3081,45993,10623
raw_start_v1,medium,pid_18,completed,,37692,3099,3072,43863,10567
raw_start_v1,medium,pid_19,completed,,38052,4067,2969,45088,9916
raw_start_v1,medium,pid_20,completed,,38261,4160,3082,45503,10650
raw_start_v1,high,pid_1,completed,,38257,6157,3045,47459,10435
raw_start_v1,high,pid_2,completed,,39200,5667,3084,47951,10544
raw_start_v1,high,pid_3,completed,,38744,7480,3070,49294,10565
raw_start_v1,high,pid_4,completed,,37969,5774,3088,46831,10539
raw_start_v1,high,pid_5,completed,,38225,5526,3053,46804,10489
raw_start_v1,high,pid_6,completed,,38074,5877,3054,47005,10481
raw_start_v1,high,pid_7,completed,,39763,6410,3059,49232,10532
raw_start_v1,high,pid_8,completed,,39090,6193,3074,48357,10582
raw_start_v1,high,pid_9,completed,,39464,6750,3097,49311,10595
raw_start_v1,high,pid_10,completed,,39672,4632,3053,47357,10488
raw_start_v1,high,pid_11,completed,,37953,7187,3064,48204,10513
raw_start_v1,high,pid_12,completed,,38561,5345,3078,46984,10529
raw_start_v1,high,pid_13,completed,,38596,6100,3083,47779,10510
raw_start_v1,high,pid_14,completed,,38945,7078,3095,49118,10576
raw_start_v1,high,pid_15,completed,,39681,6565,3080,49326,10496
raw_start_v1,high,pid_16,completed,,38250,4847,3089,46186,10577
raw_start_v1,high,pid_17,completed,,38243,5943,3079,47265,10588
raw_start_v1,high,pid_18,completed,,37692,6110,3048,46850,10447
raw_start_v1,high,pid_19,completed,,38052,5949,3094,47095,10578
raw_start_v1,high,pid_20,completed,,38261,5833,3062,47156,10513
raw_start_v2,none,pid_1,completed,,37597,0,3064,40661,10574
raw_start_v2,none,pid_2,completed,,40061,0,3069,43130,10466
raw_start_v2,none,pid_3,completed,,37544,0,3033,40577,10636
raw_start_v2,none,pid_4,completed,,37206,0,3059,40265,10382
raw_start_v2,none,pid_5,completed,,37268,0,3059,40327,10537
raw_start_v2,none,pid_6,completed,,37488,0,3040,40528,10397
raw_start_v2,none,pid_7,completed,,37305,0,3064,40369,10567
raw_start_v2,none,pid_8,completed,,37237,0,3037,40274,10386
raw_start_v2,none,pid_9,completed,,37383,0,3085,40468,10563
raw_start_v2,none,pid_10,completed,,37643,0,3064,40707,10561
raw_start_v2,none,pid_11,completed,,37168,0,3046,40214,10411
raw_start_v2,none,pid_12,completed,,37161,0,3108,40269,10738
raw_start_v2,none,pid_13,completed,,37560,0,3103,40663,10612
raw_start_v2,none,pid_14,completed,,37232,0,3090,40322,10577
raw_start_v2,none,pid_15,completed,,37484,0,3068,40552,10425
raw_start_v2,none,pid_16,completed,,37426,0,3090,40516,10573
raw_start_v2,none,pid_17,completed,,37040,0,3055,40095,10471
raw_start_v2,none,pid_18,completed,,37117,0,3028,40145,10335
raw_start_v2,none,pid_19,completed,,37415,0,3119,40534,10738
raw_start_v2,none,pid_20,completed,,36897,0,3029,39926,10355
raw_start_v2,low,pid_1,completed,,37597,1210,3058,41865,10512
raw_start_v2,low,pid_2,completed,,40061,1450,3092,44603,10609
raw_start_v2,low,pid_3,completed,,37499,1404,3068,41971,10527
raw_start_v2,low,pid_4,completed,,37206,1520,3075,41801,10439
raw_start_v2,low,pid_5,completed,,37268,1482,3080,41830,10643
raw_start_v2,low,pid_6,completed,,37488,1864,3047,42399,10462
raw_start_v2,low,pid_7,completed,,37305,129,3067,40501,10542
raw_start_v2,low,pid_8,completed,,37237,1323,2888,41448,9931
raw_start_v2,low,pid_9,completed,,37383,1582,3064,42029,10405
raw_start_v2,low,pid_10,completed,,37643,1684,3086,42413,10652
raw_start_v2,low,pid_11,completed,,37168,1449,3081,41698,10620
raw_start_v2,low,pid_12,completed,,37161,1371,3105,41637,10679
raw_start_v2,low,pid_13,completed,,37560,1368,3095,42023,10591
raw_start_v2,low,pid_14,completed,,37232,1574,3107,41913,10684
raw_start_v2,low,pid_15,completed,,37484,1417,3073,41974,10432
raw_start_v2,low,pid_16,completed,,37426,1526,3128,42080,10763
