suite,setting,reasoning,config,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40
nano_temp0,skill_v3,medium,"skill_v3
medium",0.7,0.6,0.75,0.55,0.6,0.65,0.7,0.65,0.75,0.55,0.7,0.6,0.6,0.75,0.7,0.7,0.75,0.65,0.75,0.4,0.55,0.55,0.75,0.6,0.6,0.45,0.4,0.45,0.5,0.75,0.75,0.65,0.65,0.6,0.6,0.35,0.45,0.75,0.55,0.5
nano_temp0,skill_v3,high,"skill_v3
high",0.7,0.7,0.75,0.5,0.55,0.6,0.55,0.6,0.85,0.6,0.7,0.65,0.6,0.75,0.7,0.8,0.75,0.55,0.6,0.5,0.55,0.7,0.7,0.55,0.8,0.6,0.25,0.5,0.55,0.7,0.75,0.55,0.55,0.65,0.65,0.45,0.7,0.7,0.55,0.6
nano_temp0,raw,none,"raw
none",0.6,0.7,0.7,0.65,0.6,0.7,0.65,0.8,0.65,0.65,0.65,0.55,0.7,0.65,0.6,0.65,0.65,0.65,0.75,0.35,0.6,0.7,0.7,0.55,0.65,0.45,0.45,0.7,0.5,0.75,0.65,0.7,0.65,0.7,0.55,0.35,0.55,0.55,0.55,0.6
nano_temp0,raw,low,"raw
low",0.65,0.6,0.75,0.7,0.45,0.75,0.65,0.65,0.75,0.6,0.55,0.6,0.6,0.7,0.75,0.65,0.7,0.65,0.65,0.45,0.6,0.7,0.75,0.6,0.8,0.45,0.6,0.55,0.65,0.8,0.7,0.55,0.65,0.65,0.7,0.35,0.7,0.7,0.45,0.75
nano_temp0,raw,medium,"raw
medium",0.6,0.65,0.6,0.6,0.6,0.65,0.65,0.8,0.8,0.65,0.55,0.6,0.6,0.65,0.7,0.65,0.8,0.65,0.65,0.45,0.75,0.7,0.75,0.5,0.75,0.6,0.55,0.5,0.5,0.7,0.65,0.6,0.6,0.7,0.55,0.45,0.65,0.4,0.45,0.6
nano_temp0,raw,high,"raw
high",0.55,0.8,0.75,0.65,0.6,0.6,0.75,0.75,0.8,0.6,0.55,0.65,0.65,0.6,0.7,0.65,0.85,0.65,0.6,0.4,0.55,0.5,0.75,0.6,0.75,0.6,0.45,0.55,0.5,0.6,0.65,0.45,0.6,0.6,0.55,0.35,0.6,0.7,0.5,0.7
nano_temp0,raw_start_v1,none,"raw_start_v1
none",0.6,0.6,0.7,0.6,0.7,0.65,0.6,0.65,0.8,0.6,0.6,0.7,0.65,0.7,0.55,0.55,0.85,0.65,0.75,0.4,0.6,0.8,0.7,0.35,0.6,0.7,0.5,0.4,0.65,0.8,0.75,0.6,0.65,0.85,0.55,0.35,0.6,0.5,0.6,0.55
nano_temp0,raw_start_v1,low,"raw_start_v1
low",0.7,0.65,0.7,0.6,0.6,0.65,0.65,0.6,0.85,0.65,0.55,0.6,0.65,0.6,0.85,0.6,0.75,0.6,0.75,0.35,0.6,0.6,0.6,0.5,0.65,0.45,0.55,0.55,0.5,0.85,0.7,0.45,0.4,0.55,0.7,0.45,0.6,0.7,0.55,0.75
nano_temp0,raw_start_v1,medium,"raw_start_v1
medium",0.65,0.6,0.8,0.6,0.6,0.55,0.7,0.6,0.8,0.65,0.6,0.7,0.6,0.7,0.8,0.75,0.75,0.65,0.75,0.25,0.65,0.65,0.55,0.55,0.75,0.5,0.5,0.45,0.55,0.75,0.75,0.5,0.55,0.7,0.7,0.35,0.45,0.6,0.55,0.6
nano_temp0,raw_start_v1,high,"raw_start_v1
high",0.7,0.7,0.7,0.7,0.65,0.6,0.8,0.7,0.85,0.65,0.65,0.8,0.6,0.7,0.75,0.7,0.75,0.6,0.75,0.45,0.6,0.65,0.7,0.5,0.7,0.55,0.4,0.55,0.5,0.65,0.9,0.5,0.55,0.65,0.7,0.5,0.55,0.55,0.55,0.65
nano_temp0,raw_start_v2,none,"raw_start_v2
none",0.5,0.55,0.7,0.6,0.7,0.55,0.7,0.65,0.85,0.7,0.55,0.65,0.75,0.65,0.7,0.55,0.75,0.75,0.6,0.5,0.45,0.7,0.55,0.5,0.7,0.65,0.5,0.65,0.55,0.7,0.8,0.45,0.55,0.7,0.5,0.45,0.65,0.55,0.5,0.6
nano_temp0,raw_start_v2,low,"raw_start_v2
low",0.7,0.7,0.8,0.5,0.7,0.6,0.65,0.75,0.8,0.65,0.6,0.65,0.7,0.7,0.8,0.7,0.85,0.7,0.75,0.4,0.75,0.7,0.6,0.55,0.6,0.5,0.5,0.6,0.65,0.75,0.8,0.6,0.7,0.6,0.75,0.4,0.7,0.85,0.55,0.7
nano_temp0,raw_start_v2,medium,"raw_start_v2
medium",0.85,0.65,0.75,0.6,0.6,0.6,0.6,0.7,0.8,0.6,0.5,0.7,0.7,0.75,0.75,0.6,0.85,0.55,0.7,0.3,0.65,0.6,0.6,0.55,0.6,0.4,0.4,0.55,0.5,0.75,0.7,0.6,0.55,0.6,0.7,0.5,0.6,0.65,0.4,0.55
nano_temp0,raw_start_v2,high,"raw_start_v2
high",0.55,0.7,0.75,0.6,0.55,0.7,0.7,0.65,0.65,0.65,0.55,0.6,0.6,0.7,0.6,0.85,0.9,0.55,0.55,0.35,0.65,0.6,0.7,0.4,0.8,0.6,0.55,0.55,0.45,0.75,0.75,0.5,0.55,0.75,0.6,0.5,0.55,0.75,0.45,0.55
nano_temp0,raw_start_v3,none,"raw_start_v3
none",0.7,0.55,0.7,0.65,0.6,0.75,0.6,0.7,0.7,0.7,0.6,0.75,0.6,0.8,0.8,0.55,0.65,0.7,0.75,0.35,0.7,0.6,0.7,0.45,0.6,0.4,0.55,0.4,0.65,0.7,0.85,0.65,0.65,0.75,0.55,0.3,0.55,0.65,0.55,0.6
nano_temp0,raw_start_v3,low,"raw_start_v3
low",0.65,0.65,0.75,0.65,0.6,0.65,0.6,0.9,0.8,0.55,0.6,0.6,0.65,0.65,0.7,0.7,0.85,0.85,0.6,0.4,0.65,0.65,0.75,0.65,0.75,0.65,0.5,0.4,0.55,0.85,0.6,0.5,0.45,0.55,0.65,0.6,0.7,0.7,0.55,0.65
nano_temp0,raw_start_v3,medium,"raw_start_v3
medium",0.55,0.7,0.75,0.5,0.6,0.75,0.7,0.75,0.8,0.65,0.6,0.65,0.65,0.7,0.8,0.7,0.7,0.5,0.75,0.5,0.65,0.55,0.65,0.6,0.8,0.45,0.45,0.5,0.55,0.65,0.75,0.5,0.55,0.65,0.65,0.4,0.65,0.6,0.55,0.5
nano_temp0,raw_start_v3,high,"raw_start_v3
high",0.7,0.65,0.9,0.6,0.65,0.55,0.7,0.7,0.8,0.55,0.65,0.55,0.55,0.6,0.7,0.7,0.8,0.55,0.75,0.5,0.65,0.55,0.75,0.65,0.75,0.5,0.45,0.55,0.55,0.6,0.7,0.5,0.45,0.6,0.55,0.5,0.55,0.6,0.45,0.65
nano_temp0,skill_v1_raw_end,none,"skill_v1_raw_end
none",0.75,0.65,0.75,0.55,0.65,0.65,0.65,0.8,0.65,0.8,0.45,0.6,0.7,0.7,0.75,0.6,0.85,0.55,0.7,0.35,0.6,0.65,0.55,0.4,0.65,0.5,0.45,0.6,0.65,0.7,0.75,0.5,0.7,0.7,0.65,0.5,0.55,0.75,0.55,0.65
nano_temp0,skill_v1_raw_end,low,"skill_v1_raw_end
low",0.55,0.7,0.7,0.65,0.7,0.65,0.6,0.75,0.65,0.7,0.6,0.7,0.7,0.65,0.75,0.6,0.85,0.75,0.75,0.3,0.6,0.7,0.55,0.6,0.65,0.5,0.5,0.55,0.65,0.8,0.55,0.4,0.55,0.6,0.7,0.45,0.6,0.65,0.65,0.7
nano_temp0,skill_v1_raw_end,medium,"skill_v1_raw_end
medium",0.65,0.7,0.8,0.65,0.7,0.75,0.6,0.6,0.9,0.65,0.65,0.65,0.55,0.75,0.8,0.6,0.75,0.7,0.8,0.4,0.65,0.6,0.7,0.55,0.8,0.5,0.45,0.65,0.55,0.7,0.7,0.65,0.55,0.65,0.6,0.55,0.65,0.55,0.5,0.6
nano_temp0,skill_v1_raw_end,high,"skill_v1_raw_end
high",0.75,0.7,0.75,0.75,0.7,0.7,0.85,0.6,0.85,0.65,0.6,0.75,0.65,0.7,0.7,0.75,0.8,0.7,0.7,0.4,0.7,0.65,0.7,0.65,0.8,0.6,0.45,0.5,0.45,0.7,0.85,0.6,0.65,0.7,0.75,0.45,0.55,0.65,0.6,0.75
nano_temp0,skill_v2_raw_end,none,"skill_v2_raw_end
none",0.7,0.65,0.7,0.6,0.65,0.65,0.7,0.75,0.65,0.75,0.75,0.7,0.6,0.7,0.65,0.75,0.85,0.8,0.65,0.3,0.65,0.7,0.75,0.4,0.8,0.6,0.5,0.4,0.55,0.75,0.95,0.6,0.6,0.7,0.6,0.45,0.6,0.65,0.5,0.65
nano_temp0,skill_v2_raw_end,low,"skill_v2_raw_end
low",0.8,0.75,0.7,0.6,0.7,0.75,0.7,0.7,0.8,0.6,0.7,0.65,0.7,0.6,0.7,0.7,0.85,0.75,0.8,0.4,0.5,0.7,0.65,0.6,0.75,0.45,0.6,0.65,0.55,0.8,0.7,0.6,0.65,0.7,0.75,0.55,0.7,0.7,0.6,0.65
nano_temp0,skill_v2_raw_end,medium,"skill_v2_raw_end
medium",0.75,0.7,0.8,0.7,0.65,0.7,0.7,0.75,0.7,0.7,0.65,0.6,0.65,0.7,0.7,0.5,0.8,0.6,0.7,0.5,0.6,0.7,0.65,0.45,0.65,0.5,0.5,0.55,0.4,0.75,0.7,0.5,0.65,0.7,0.65,0.45,0.55,0.75,0.55,0.6
nano_temp0,skill_v2_raw_end,high,"skill_v2_raw_end
high",0.65,0.75,0.75,0.65,0.65,0.65,0.55,0.65,0.8,0.75,0.6,0.65,0.6,0.65,0.75,0.65,0.85,0.65,0.7,0.4,0.5,0.55,0.55,0.45,0.75,0.5,0.45,0.65,0.55,0.75,0.85,0.6,0.55,0.65,0.75,0.3,0.55,0.65,0.55,0.7
nano_temp0,skill_v3_raw_end,none,"skill_v3_raw_end
none",0.55,0.6,0.65,0.5,0.55,0.7,0.65,0.65,0.7,0.7,0.55,0.55,0.65,0.75,0.7,0.55,0.95,0.75,0.6,0.5,0.55,0.6,0.65,0.55,0.75,0.5,0.65,0.7,0.65,0.6,0.65,0.55,0.65,0.65,0.55,0.6,0.55,0.55,0.45,0.6
nano_temp0,skill_v3_raw_end,low,"skill_v3_raw_end
low",0.6,0.6,0.8,0.65,0.6,0.75,0.6,0.85,0.7,0.65,0.6,0.55,0.6,0.65,0.75,0.75,0.75,0.6,0.7,0.4,0.7,0.55,0.65,0.7,0.65,0.65,0.55,0.6,0.6,0.6,0.65,0.55,0.55,0.7,0.75,0.45,0.65,0.7,0.5,0.5
nano_temp0,skill_v3_raw_end,medium,"skill_v3_raw_end
medium",0.65,0.6,0.8,0.6,0.55,0.55,0.6,0.7,0.8,0.6,0.6,0.7,0.65,0.75,0.6,0.7,0.75,0.6,0.65,0.45,0.65,0.45,0.75,0.5,0.75,0.65,0.55,0.45,0.55,0.65,0.75,0.5,0.6,0.65,0.6,0.45,0.6,0.65,0.5,0.55
nano_temp0,skill_v3_raw_end,high,"skill_v3_raw_end
high",0.65,0.8,0.85,0.6,0.55,0.6,0.7,0.75,0.8,0.65,0.7,0.65,0.65,0.75,0.75,0.75,0.7,0.7,0.8,0.5,0.6,0.6,0.8,0.5,0.8,0.7,0.45,0.45,0.65,0.65,0.85,0.75,0.65,0.7,0.7,0.55,0.6,0.7,0.5,0.6
mini_temp0,skill_v1,none,"skill_v1
none",0.45,0.7,0.7,0.6,0.7,0.65,0.65,0.65,0.7,0.55,0.55,0.6,0.65,0.5,0.75,0.7,0.7,0.7,0.7,0.5,0.5,0.65,0.65,0.55,0.65,0.45,0.4,0.65,0.45,0.65,0.65,0.55,0.65,0.6,0.55,0.5,0.5,0.75,0.55,0.55
mini_temp0,skill_v1,low,"skill_v1
low",0.75,0.55,0.8,0.75,0.65,0.6,0.55,0.7,0.75,0.5,0.6,0.6,0.65,0.75,0.65,0.55,0.85,0.7,0.75,0.4,0.65,0.6,0.65,0.55,0.65,0.5,0.5,0.6,0.55,0.75,0.7,0.35,0.7,0.6,0.65,0.4,0.5,0.65,0.55,0.55
mini_temp0,skill_v1,medium,"skill_v1
medium",0.35,0.7,0.6,0.55,0.7,0.55,0.4,0.55,0.55,0.7,0.55,0.5,0.55,0.65,0.65,0.6,0.7,0.65,0.65,0.4,0.55,0.5,0.5,0.55,0.7,0.45,0.5,0.45,0.45,0.6,0.35,0.5,0.65,0.65,0.45,0.4,0.4,0.7,0.45,0.55
mini_temp0,skill_v1,high,"skill_v1
high",0.45,0.6,0.6,0.65,0.65,0.6,0.4,0.6,0.7,0.65,0.7,0.55,0.55,0.55,0.7,0.65,0.6,0.7,0.65,0.4,0.45,0.45,0.55,0.65,0.65,0.55,0.5,0.45,0.45,0.65,0.45,0.45,0.6,0.5,0.4,0.4,0.45,0.6,0.5,0.6
mini_temp0,skill_v2,none,"skill_v2
none",0.8,0.65,0.75,0.7,0.7,0.55,0.6,0.45,0.75,0.55,0.6,0.7,0.65,0.75,0.75,0.55,0.85,0.65,0.8,0.5,0.6,0.5,0.6,0.65,0.75,0.5,0.5,0.65,0.4,0.75,0.55,0.5,0.65,0.6,0.8,0.45,0.6,0.65,0.55,0.6
mini_temp0,skill_v2,low,"skill_v2
low",0.65,0.6,0.75,0.75,0.6,0.55,0.6,0.7,0.7,0.65,0.65,0.55,0.7,0.8,0.6,0.7,0.75,0.65,0.7,0.45,0.5,0.5,0.6,0.55,0.75,0.55,0.5,0.5,0.5,0.65,0.55,0.55,0.55,0.6,0.65,0.45,0.55,0.55,0.55,0.5
mini_temp0,skill_v2,medium,"skill_v2
medium",0.5,0.7,0.65,0.7,0.75,0.65,0.35,0.6,0.65,0.65,0.65,0.55,0.6,0.65,0.6,0.65,0.6,0.6,0.75,0.5,0.5,0.55,0.6,0.65,0.75,0.55,0.6,0.6,0.4,0.7,0.65,0.6,0.65,0.6,0.5,0.55,0.55,0.65,0.45,0.75
mini_temp0,skill_v2,high,"skill_v2
high",0.5,0.7,0.65,0.6,0.7,0.55,0.4,0.7,0.65,0.6,0.7,0.6,0.55,0.65,0.65,0.55,0.65,0.65,0.7,0.45,0.45,0.5,0.6,0.65,0.7,0.6,0.5,0.4,0.4,0.75,0.55,0.45,0.65,0.65,0.45,0.45,0.55,0.65,0.55,0.75
mini_temp0,skill_v3,none,"skill_v3
none",0.6,0.7,0.8,0.5,0.5,0.6,0.55,0.65,0.85,0.6,0.55,0.5,0.55,0.65,0.6,0.6,0.85,0.7,0.75,0.35,0.6,0.55,0.7,0.55,0.7,0.45,0.45,0.55,0.45,0.6,0.6,0.45,0.6,0.6,0.65,0.45,0.4,0.65,0.55,0.55
mini_temp0,skill_v3,low,"skill_v3
low",0.85,0.7,0.75,0.55,0.6,0.6,0.7,0.65,0.75,0.6,0.55,0.5,0.6,0.8,0.7,0.6,0.7,0.75,0.7,0.45,0.55,0.65,0.55,0.55,0.65,0.6,0.5,0.55,0.5,0.6,0.75,0.5,0.7,0.6,0.75,0.4,0.55,0.65,0.5,0.5
mini_temp0,skill_v3,medium,"skill_v3
medium",0.55,0.6,0.65,0.6,0.65,0.55,0.5,0.6,0.65,0.55,0.6,0.45,0.5,0.65,0.7,0.55,0.7,0.65,0.7,0.35,0.45,0.65,0.65,0.65,0.65,0.5,0.45,0.35,0.45,0.6,0.4,0.55,0.6,0.5,0.45,0.4,0.6,0.7,0.6,0.55
mini_temp0,skill_v3,high,"skill_v3
high",0.5,0.55,0.65,0.55,0.6,0.5,0.45,0.55,0.7,0.55,0.6,0.6,0.55,0.55,0.7,0.5,0.7,0.65,0.7,0.45,0.45,0.45,0.6,0.6,0.7,0.55,0.55,0.5,0.4,0.6,0.4,0.45,0.65,0.45,0.45,0.4,0.5,0.7,0.55,0.75
mini_temp0,raw,none,"raw
none",0.85,0.6,0.75,0.5,0.65,0.6,0.55,0.8,0.75,0.75,0.5,0.6,0.7,0.7,0.7,0.65,0.85,0.6,0.55,0.3,0.7,0.65,0.7,0.5,0.65,0.4,0.45,0.65,0.6,0.75,0.6,0.45,0.75,0.55,0.6,0.35,0.45,0.7,0.55,0.6
mini_temp0,raw,low,"raw
low",0.75,0.65,0.85,0.55,0.65,0.6,0.55,0.8,0.8,0.7,0.55,0.5,0.65,0.7,0.8,0.5,0.85,0.7,0.65,0.3,0.5,0.5,0.6,0.45,0.65,0.45,0.5,0.55,0.5,0.75,0.55,0.55,0.7,0.7,0.6,0.45,0.45,0.8,0.55,0.55
mini_temp0,raw,medium,"raw
medium",0.55,0.7,0.55,0.5,0.65,0.6,0.45,0.6,0.6,0.55,0.55,0.6,0.5,0.7,0.7,0.6,0.7,0.7,0.7,0.4,0.5,0.3,0.55,0.65,0.65,0.45,0.45,0.45,0.45,0.6,0.35,0.45,0.7,0.45,0.4,0.5,0.45,0.6,0.45,0.6
mini_temp0,raw,high,"raw
high",0.4,0.7,0.55,0.5,0.55,0.6,0.45,0.6,0.6,0.6,0.55,0.6,0.45,0.65,0.6,0.55,0.65,0.65,0.65,0.35,0.45,0.5,0.55,0.65,0.6,0.45,0.5,0.45,0.45,0.65,0.5,0.45,0.65,0.55,0.25,0.45,0.5,0.55,0.45,0.65
mini_temp0,raw_start_v1,none,"raw_start_v1
none",0.6,0.6,0.75,0.35,0.65,0.65,0.65,0.75,0.65,0.6,0.45,0.55,0.65,0.75,0.65,0.7,0.85,0.65,0.55,0.3,0.6,0.55,0.65,0.4,0.6,0.4,0.45,0.55,0.6,0.75,0.6,0.55,0.75,0.6,0.65,0.5,0.6,0.6,0.6,0.6
mini_temp0,raw_start_v1,low,"raw_start_v1
low",0.65,0.75,0.65,0.5,0.5,0.65,0.55,0.75,0.7,0.55,0.6,0.6,0.7,0.65,0.85,0.65,0.8,0.6,0.6,0.4,0.45,0.55,0.65,0.6,0.65,0.45,0.35,0.55,0.5,0.7,0.6,0.45,0.65,0.55,0.65,0.45,0.5,0.75,0.6,0.5
mini_temp0,raw_start_v1,medium,"raw_start_v1
medium",0.45,0.5,0.6,0.55,0.6,0.6,0.45,0.6,0.65,0.6,0.6,0.6,0.6,0.7,0.75,0.65,0.7,0.7,0.6,0.45,0.45,0.35,0.55,0.55,0.65,0.5,0.5,0.45,0.45,0.65,0.4,0.45,0.6,0.5,0.5,0.5,0.55,0.6,0.45,0.55
mini_temp0,raw_start_v1,high,"raw_start_v1
high",0.45,0.55,0.6,0.6,0.6,0.6,0.45,0.55,0.55,0.6,0.65,0.5,0.5,0.6,0.65,0.6,0.65,0.65,0.6,0.55,0.5,0.5,0.6,0.55,0.7,0.45,0.45,0.45,0.5,0.65,0.65,0.45,0.6,0.45,0.5,0.45,0.55,0.6,0.45,0.65
mini_temp0,raw_start_v2,none,"raw_start_v2
none",0.7,0.55,0.8,0.6,0.65,0.6,0.55,0.65,0.75,0.65,0.5,0.65,0.7,0.7,0.65,0.6,0.9,0.7,0.65,0.4,0.6,0.6,0.65,0.55,0.65,0.35,0.55,0.55,0.45,0.65,0.65,0.6,0.7,0.5,0.6,0.55,0.5,0.75,0.5,0.6
mini_temp0,raw_start_v2,low,"raw_start_v2
low",0.8,0.65,0.7,0.45,0.7,0.65,0.6,0.75,0.8,0.6,0.55,0.65,0.65,0.75,0.75,0.6,0.8,0.65,0.65,0.4,0.6,0.55,0.65,0.55,0.7,0.45,0.45,0.5,0.45,0.75,0.65,0.3,0.7,0.7,0.7,0.4,0.5,0.65,0.6,0.6
mini_temp0,raw_start_v2,medium,"raw_start_v2
medium",0.6,0.75,0.65,0.6,0.65,0.55,0.5,0.6,0.7,0.6,0.65,0.5,0.6,0.6,0.65,0.65,0.7,0.7,0.6,0.45,0.5,0.5,0.7,0.7,0.7,0.4,0.45,0.5,0.55,0.6,0.6,0.45,0.7,0.6,0.45,0.55,0.6,0.6,0.4,0.6
mini_temp0,raw_start_v2,high,"raw_start_v2
high",0.5,0.65,0.6,0.65,0.65,0.55,0.4,0.6,0.7,0.7,0.65,0.55,0.5,0.7,0.7,0.6,0.7,0.65,0.65,0.45,0.5,0.5,0.55,0.65,0.7,0.65,0.55,0.4,0.5,0.65,0.5,0.45,0.6,0.55,0.5,0.55,0.5,0.6,0.5,0.65
mini_temp0,raw_start_v3,none,"raw_start_v3
none",0.65,0.6,0.8,0.5,0.7,0.6,0.45,0.75,0.65,0.7,0.5,0.65,0.65,0.7,0.7,0.55,0.85,0.6,0.65,0.35,0.55,0.55,0.7,0.45,0.65,0.4,0.55,0.7,0.65,0.65,0.6,0.5,0.6,0.6,0.6,0.55,0.5,0.65,0.6,0.6
mini_temp0,raw_start_v3,low,"raw_start_v3
low",0.65,0.6,0.8,0.55,0.65,0.5,0.55,0.65,0.75,0.75,0.5,0.6,0.7,0.7,0.6,0.65,0.8,0.6,0.7,0.4,0.5,0.6,0.75,0.6,0.65,0.5,0.5,0.65,0.45,0.7,0.65,0.5,0.8,0.65,0.6,0.4,0.5,0.75,0.55,0.55
mini_temp0,raw_start_v3,medium,"raw_start_v3
medium",0.6,0.6,0.65,0.65,0.6,0.65,0.5,0.55,0.75,0.6,0.65,0.6,0.5,0.75,0.7,0.65,0.65,0.7,0.7,0.35,0.5,0.5,0.6,0.6,0.65,0.5,0.5,0.4,0.45,0.7,0.6,0.45,0.65,0.55,0.45,0.5,0.5,0.65,0.5,0.75
mini_temp0,raw_start_v3,high,"raw_start_v3
high",0.45,0.7,0.65,0.75,0.6,0.55,0.55,0.55,0.7,0.6,0.65,0.55,0.55,0.65,0.7,0.65,0.75,0.65,0.75,0.35,0.5,0.55,0.55,0.6,0.75,0.6,0.45,0.55,0.45,0.6,0.5,0.5,0.55,0.5,0.35,0.45,0.6,0.6,0.5,0.75
mini_temp0,skill_v1_raw_end,none,"skill_v1_raw_end
none",0.75,0.65,0.75,0.55,0.65,0.65,0.65,0.8,0.65,0.8,0.45,0.6,0.7,0.7,0.75,0.6,0.85,0.55,0.7,0.35,0.6,0.65,0.55,0.4,0.65,0.5,0.45,0.6,0.65,0.7,0.75,0.5,0.7,0.7,0.65,0.5,0.55,0.75,0.55,0.65
mini_temp0,skill_v1_raw_end,low,"skill_v1_raw_end
low",0.75,0.6,0.75,0.45,0.65,0.65,0.55,0.7,0.7,0.55,0.55,0.55,0.75,0.65,0.8,0.5,0.85,0.7,0.6,0.45,0.55,0.55,0.7,0.55,0.65,0.4,0.45,0.55,0.5,0.6,0.7,0.4,0.7,0.65,0.65,0.45,0.55,0.7,0.4,0.55
mini_temp0,skill_v1_raw_end,medium,"skill_v1_raw_end
medium",0.4,0.55,0.6,0.55,0.6,0.55,0.4,0.5,0.65,0.7,0.6,0.55,0.5,0.6,0.7,0.75,0.7,0.7,0.65,0.4,0.55,0.55,0.55,0.55,0.7,0.4,0.5,0.45,0.4,0.7,0.5,0.4,0.7,0.45,0.45,0.4,0.55,0.65,0.5,0.6
mini_temp0,skill_v1_raw_end,high,"skill_v1_raw_end
high",0.45,0.65,0.6,0.6,0.65,0.55,0.4,0.55,0.65,0.55,0.65,0.55,0.5,0.65,0.7,0.65,0.7,0.6,0.6,0.45,0.45,0.5,0.6,0.65,0.7,0.4,0.55,0.5,0.5,0.65,0.5,0.5,0.7,0.5,0.45,0.4,0.5,0.6,0.4,0.7
